,ENGLISH WORDS,MEANING
0,,
1,accolade,सम्मान
2,acrimony,रूखापन
3,anomaly,विसंगति
4,avant-garde,हरावल
5,baroque,बरोक
6,bona fide,प्रामाणिक
7,boondoggle,बोंडोगल
8,bourgeois,पूंजीपति
9,capricious,मनमौजी
10,caustic,काटू
11,disheveled,बिखेरा
12,peevish,चिड़चिड़ा
13,supercilious,घमंडी
14,Harrowing,शोकजनक
15,Censorious,सख़्त
16,Garish,भड़कीला
17,Bonzer,बोनज़र
18,Suasion,उत्तेजना
19,Surreptitious,छल से किया हुआ
20,Indubitable,ज़ाहिर
21,Fawning,चापलूस
22,Engrossing,मनोरंजक
23,Tumultuous,उतार-चढ़ाव भरे
24,aaronic,ऐरोनिक
25,abdicate ,त्यागना
26,abide,पालन ​​करना
27,abrupt,आकस्मिक
28,Acarpous,एक प्रकार का
29,Acceded,स्वीकार कर लिया
30,accentuation,स्वरोच्चारण
31,Accentuations,उच्चारण
32,acceptive,स्वीकार करने वाला
33,accidie,पावती
34,Sloth,आलस
35,Tumultuous,उतार-चढ़ाव भरे
36,Toils and Moils,टॉयल्स और moils
37,WorthWhile,सार्थक
38,Damned,शापित
39,Endeavore,प्रयास करना
40,Misery,कष्ट
41,Melacholy,मेलचोली
42,Realm,क्षेत्र
43,Lurks,घूमता है
44,Stricken,त्रस्त
45,Testimony,गवाही
46,Practicality,व्यावहारिकता
47,Oftentime,अक्सर
48,Behold,देखो
49,Astonished,आश्चर्यचकित
50,Inveterate,
